,nmscale,darkline,baseline,p1
511,726.77563,3924.0,0.0,3908
512,726.7271912,3924.0,0.0,3912
513,726.6786175,3924.0,0.0,3912
514,726.6299088999999,3924.0,0.0,3911
515,726.5810657000001,3923.0,0.0,3913
516,726.5320879,3924.0,0.0,3908
517,726.4829757,3927.0,0.0,3912
518,726.4337292,3920.0,0.0,3912
519,726.3843485,3923.0,0.0,3913
520,726.3348338999999,3922.0,0.0,3910
521,726.2851853,3924.0,0.0,3915
522,726.235403,3920.0,0.0,3909
523,726.1854872,3924.0,0.0,3910
524,726.1354378,3921.0,0.0,3911
525,726.0852551,3924.0,0.0,3913
526,726.0349392,3923.0,0.0,3910
527,725.9844902000001,3925.0,0.0,3911
528,725.9339083,3925.0,0.0,3908
529,725.8831935,3923.0,0.0,3908
530,725.8323461,3924.0,0.0,3909
531,725.7813662000001,3923.0,0.0,3912
532,725.7302539,3925.0,0.0,3910
533,725.6790093,3926.0,0.0,3913
534,725.6276325,3922.0,0.0,3911
535,725.5761238,3924.0,0.0,3911
536,725.5244832000001,3924.0,0.0,3910
537,725.4727108,3926.0,0.0,3908
538,725.4208069,3924.0,0.0,3910
539,725.3687714,3923.0,0.0,3906
540,725.3166047,3924.0,0.0,3910
541,725.2643068,3926.0,0.0,3910
542,725.2118777000001,3921.0,0.0,3912
543,725.1593177999999,3926.0,0.0,3910
544,725.106627,3923.0,0.0,3907
545,725.0538056,3924.0,0.0,3910
546,725.0008536,3926.0,0.0,3910
547,724.9477713,3926.0,0.0,3910
548,724.8945586,3922.0,0.0,3906
549,724.8412159,3923.0,0.0,3906
550,724.7877431,3924.0,0.0,3908
551,724.7341404,3926.0,0.0,3910
552,724.6804081,3926.0,0.0,3911
553,724.6265461,3926.0,0.0,3907
554,724.5725546,3922.0,0.0,3906
555,724.5184337999999,3924.0,0.0,3908
556,724.4641837,3924.0,0.0,3906
557,724.4098046,3924.0,0.0,3908
558,724.3552966,3924.0,0.0,3908
559,724.3006597,3923.0,0.0,3908
560,724.2458942000001,3922.0,0.0,3904
561,724.1910001,3922.0,0.0,3907
562,724.1359776,3925.0,0.0,3906
563,724.0808267000001,3926.0,0.0,3904
564,724.0255477999999,3921.0,0.0,3903
565,723.9701408,3923.0,0.0,3904
566,723.9146059,3926.0,0.0,3908
567,723.8589433,3921.0,0.0,3906
568,723.8031530000001,3922.0,0.0,3902
569,723.7472352000001,3922.0,0.0,3905
570,723.6911901000001,3924.0,0.0,3904
571,723.6350177,3920.0,0.0,3906
572,723.5787182,3922.0,0.0,3903
573,723.5222918,3924.0,0.0,3906
574,723.4657384999999,3921.0,0.0,3904
575,723.4090585,3923.0,0.0,3908
576,723.3522518999999,3922.0,0.0,3905
